photo_id,date_posted,caption,comments,likes,photo_src,is_video
Bfz2EMKBp9g,2018-03-01 22:03:10,Did you know? Rayquaza is said to have lived for hundreds of millions of years. The Sky High Pokémon is also the first Legendary Dragon-type Pokémon available in Pokémon GO! #TeamRayquaza,16613,149,https://scontent-sjc3-1.cdninstagram.com/vp/4d1cdf3abd3f64ad08e89419b2518c26/5B757845/t51.2885-15/e35/28153830_167052377421615_6295616646488784896_n.jpg,False
BfyovyLBoC5,2018-03-01 10:47:32,"Feeling the Earth rumble? The Continent Pokémon Groudon is said to be the personification of the land itself! Trainers, are you #TeamGroudon?",14888,186,https://scontent-sjc3-1.cdninstagram.com/vp/b4d3721d40e40eb6be1cd6ec6e346c25/5B72905B/t51.2885-15/e35/28158932_883730511799478_1073552557676167168_n.jpg,False
Bfwd--DBXTs,2018-02-28 14:35:01,"Mark your calendars, Trainers. The next #PokemonGOCommunityDay is coming your way on March 25, featuring the Grass-type Pokémon Bulbasaur! Click the link in our bio to learn more.",18200,606,https://scontent-sjc3-1.cdninstagram.com/vp/27ca19f143dc88f6d1e32b40f177e625/5B583E11/t51.2885-15/e35/28157229_163164100939468_4204289760308494336_n.jpg,False
BfuSNZ0BZJF,2018-02-27 18:13:39,"Trainers, look out for Kyogre while it swims in our planet's vast oceans. Weighing hundreds of pounds, this massive Water-type Legendary Pokémon can summon storms that cause the sea levels to rise! Tag a player who is #TeamKyogre!",12637,157,https://scontent-sjc3-1.cdninstagram.com/vp/ee6f2389b0d730afed9779dade8cb30b/5B677220/t51.2885-15/e35/28155395_983513901802909_2400500368975855616_n.jpg,False
BfrXX6ChpGR,2018-02-26 15:01:03,Time for a throwback! Trainer avatar items from Pokémon FireRed and Pokémon LeafGreen are now available!,17440,234,https://scontent-sjc3-1.cdninstagram.com/vp/fd762e7a0d3cdfffcedda87433abd607/5B75B22F/t51.2885-15/e35/28155172_749344215256306_566608492463390720_n.jpg,False
BfoTYReBmnK,2018-02-25 10:28:25,"Trainers, are you #TeamKyogre, #TeamGroudon, or #TeamRayquaza? Show us by posting an AR photo with one of these Legendary Pokémon. https://pokemongolive.com/en/post/legendaryweek022318/",17566,565,https://scontent-sjc3-1.cdninstagram.com/vp/1ec1401c32d533bf2fa9346bbbf96ef3/5B5A2FF1/t51.2885-15/e35/28430009_189851694949160_1557620918400843776_n.jpg,False
BfjQ8GWB5ZB,2018-02-23 11:30:54,#PokemonGOCommunityDay starts tomorrow! Time to meet new Pokémon GO Trainers and experience what it means to be a part of this special community.,10147,202,https://scontent-sjc3-1.cdninstagram.com/vp/e881a908d65d5e817984610125613ddb/5B59114F/t51.2885-15/e35/28150968_1984483725139624_3886856767639912448_n.jpg,False
BfirLLJBC_1,2018-02-23 06:00:54,"Attention, Trainers: Groudon and Kyogre have been awakened once again to join Rayquaza in a legendary battle all around the world in #PokemonGO!",23225,663,https://scontent-sjc3-1.cdninstagram.com/vp/f8e0e819f1c9ab2069936bd64153b0ca/5B6C9C2C/t51.2885-15/e35/27891077_155506475157201_656412586425712640_n.jpg,False
Bfe_AuNhVBj,2018-02-21 19:37:17,3 hour lures and 3x catch Stardust in 3️⃣ days. Get ready for #PokemonGOCommunityDay!,12195,207,https://scontent-sjc3-1.cdninstagram.com/vp/e340736462ba130ac7d7b62d88cffb1f/5B6DBDDB/t51.2885-15/e35/27891266_192851134651882_5346593534528978944_n.jpg,False
BfeqJG_BiQL,2018-02-21 16:34:55,"Trainers, how many Pokémon originally from the Hoenn region have you caught so far? Let us know in the comments!",14293,1310,https://scontent-sjc3-1.cdninstagram.com/vp/0105421bbed7b999ef9781b4f7aa32e0/5B5A3436/t51.2885-15/e35/28153392_1601895396595832_8236599151660367872_n.jpg,False
